 Device e/o servizi ;OPEX; Caratteristiche ;;;Modello (ove disponibile) ;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;IVA;1,22
;o;CPU ; RAM ;Tera;;peso;Quantità;;;;;;;;;;
;CAPEX;;;byte ;;;;;;;;;;;;;
Catalogo Componenti Infrastrutturali;;;;;;;;;;;;;;;;;
Server virtuale - 4 vCore - Generic;OPEX;4;16;;Senza OS, senza Vmware ;;1;834,54 €;761,08 €;715,20 €;686,79 €;673,20 €;673,20 €;4.344,01 €;;;
Server virtuale - 8 vCore - Generic;OPEX;8;32;;Senza OS, senza Vmware ;;1;1.051,74 €;972,71 €;926,81 €;898,40 €;884,81 €;884,81 €;5.619,26 €;;;
Worker - 16 vCore - No Prod;OPEX;16;32;;Senza OS, senza Vmware ;;1;1.051,74 €;972,71 €;926,81 €;898,40 €;884,81 €;884,81 €;5.619,26 €;;;
Worker - 16 vCore - Prod;OPEX;16;32;;Senza OS, senza Vmware ;;1;1.051,74 €;972,71 €;926,81 €;898,40 €;884,81 €;884,81 €;5.619,26 €;;;
Backup – Front-end ;OPEX;;;1;Uguale a storage PROD;;1,00;2.664,99 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;2.664,99 €;;;
Backup – Back-end;OPEX;;; 1 ;Uguale a storage * 5;;5,00;1.229,46 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;1.229,46 €;;;
Storage - SSD;OPEX;;;1;Replicato;;1,00;1.059,39 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;1.059,39 €;;;
Storage - SSD non replicati;OPEX;;;1;Non replicato;;0;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;;;
Database Oracle (non RAC) - gestione istanze;OPEX;;;;Operation - management DBMS instance ;;1;1.295,99 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;1.295,99 €;;;
Database Ms SQL - gestione istanze;OPEX;;;;Operation - management DBMS instance ;;1;640,06 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;640,06 €;;;
DB2 Blu - gestione istanze ;OPEX;;;;Operation - management DBMS instance ;;1;853,41 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;853,41 €;;;
NoSQLDB - gestione istanze ;OPEX;;;;Operation - management DBMS instance ;;1;853,41 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;853,41 €;;;
Middleware IIS / Apache - gestione istanze ;OPEX;;;;Operation - management Middleware instance ;;1;403,58 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;403,58 €;;;
Middleware Tomcat/Jboss - gestione istanze ;OPEX;;;;Operation - management Middleware instance ;;1;538,09 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;538,09 €;;;
Middleware WebSphere - gestione istanze ;OPEX;;;;Operation - management Middleware instance ;;1;672,62 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;672,62 €;;;
Middleware WebLogic - gestione istanze ;OPEX;;;;Operation - management Middleware instance ;;1;807,14 €;0,00 €;0,00 €;0,00 €;0,00 €;0,00 €;807,14 €;;;
Middleware Kubernetes - gestione Pod Deployment;OPEX;;;;Numero Pod Deployment moltiplicato per ogni ambiente rilasciato;;1;306,22 €;306,22 €;306,22 €;306,22 €;306,22 €;306,22 €;1.837,32 €;;;
Middleware Kubernetes - gestione NameSpace;OPEX;;;;Numero Namespace moltiplicato per ogni ambiente rilasciato;;1;649,04 €;649,04 €;649,04 €;649,04 €;649,04 €;649,04 €;3.894,24 €;;;
Oracle OCPU;OPEX;;;;Numero di Ocpu richieste per progetto (Ocpu);;1;17.451,18 €;17.790,04 €;17.451,18 €;17.451,18 €;17.451,18 €;17.451,18 €;105.045,93 €;;;
Oracle STORAGE;OPEX;;;;Numero di storage oracle per progetto (Tera) ;;1;1.312,51 €;1.338,00 €;1.312,51 €;1.312,51 €;1.312,51 €;1.312,51 €;7.900,57 €;;;
;;;;;;;; Costo Anno 1 ; Costo Anno 2; Costo Anno 3; Costo Anno 4; Costo Anno 5; Costo Anno 6;TOTALE;;;
TOTALE RUNNING TIM/ACN ;OPEX ;;;;;;;34.726,86 €;23.762,50 €;23.214,58 €;23.100,93 €;23.046,56 €;23.046,56 €;150.897,99 €;;;
Catalogo Licenze;;;;;;;;;;;;;;;;;
RED HAT;OPEX;;;;RedHAt Sistema Operativo (somma core redhat no openshift, diviso 3) ;0;1;1.215,12 €;1.215,12 €;1.215,12 €;1.215,12 €;1.215,12 €;1.215,12 €;7.290,72 €;;;
JBOSS PREPROD;OPEX;;;;N° core, licenza da 16 core;100%;1;312,63 €;312,63 €;312,63 €;312,63 €;312,63 €;312,63 €;1.875,75 €;;;
JBOSS PROD;OPEX;;;;N° core, licenza da 16 core;100%;1;468,94 €;468,94 €;468,94 €;468,94 €;468,94 €;468,94 €;2.813,63 €;;;
Websphere PREPROD;CAPEX;;;;LICENZA PER PVU (1 pvu 70*N.TOT CORE DEL SERVER FISICO) -inserire nel campo quantità il numero dei core del server fisico o 0;100%;1;3.335,72 €;666,97 €;0,00 €;0,00 €;0,00 €;0,00 €;4.002,70 €;;;
Websphere PROD;CAPEX;;;;LICENZA PER PVU (1 pvu 70*N.TOT CORE DEL SERVER FISICO) -inserire nel campo quantità il numero dei core del server fisico o 0;100%;1;3.335,72 €;666,97 €;666,97 €;666,97 €;666,97 €;666,97 €;6.670,59 €;;;
